loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/json_format_reward/mean,rewards/json_format_reward/std,rewards/medusa_env_reward/mean,rewards/medusa_env_reward/std,reward,reward_std,frac_reward_zero_std,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.40292221307754517,1.724413514137268,0.0,3529.0,70.08333587646484,34.0,168.0,0.0,70.08333587646484,34.0,168.0,0.02083333395421505,0.10103630274534225,-1.0,0.0,-0.9791666865348816,0.10103629529476166,0.0,0.3873216050366561,0.0,0.0,0.0,0.0,0.0,0.0009765625,1,,,,,
0.054573990404605865,2.999885320663452,6.666666666666667e-08,7550.0,113.08333587646484,35.0,192.0,0.3333333432674408,73.625,35.0,188.0,0.11666667461395264,0.19462473690509796,-0.5,0.23354968428611755,-0.38333332538604736,0.42817437648773193,0.0,0.7753367672363917,0.0,0.0,0.0,0.0,0.0,0.001953125,2,,,,,
-0.014761438593268394,2.601482391357422,1.3333333333333334e-07,10505.0,36.25,29.0,46.0,0.0,36.25,29.0,46.0,0.07499999552965164,0.05838741734623909,-0.8366666436195374,0.38146448135375977,-0.7616667151451111,0.43985193967819214,0.0,0.37263356273372966,0.0,0.0,0.0,0.0,0.0,0.0029296875,3,,,,,
0.04203665256500244,1.5975202322006226,2e-07,13877.0,65.0,27.0,143.0,0.0,65.0,27.0,143.0,0.10000000149011612,0.2374102771282196,-0.41833338141441345,0.39038053154945374,-0.31833335757255554,0.5793701410293579,0.0,0.8409885416428248,0.0,0.0,0.0,0.0,0.0,0.00390625,4,,,,,
0.1219964548945427,1.598006010055542,2.6666666666666667e-07,17328.0,83.58333587646484,37.0,192.0,0.0833333358168602,73.7272720336914,37.0,133.0,0.15833334624767303,0.14433757960796356,-0.3683333396911621,0.3448803126811981,-0.21000000834465027,0.44407206773757935,0.0,1.001751767937094,0.0,0.0,0.0,0.0,0.0,0.0048828125,5,,,,,
0.23662319779396057,0.7523932456970215,3.333333333333333e-07,21066.0,105.5,37.0,192.0,0.25,76.66666412353516,37.0,158.0,0.14166666567325592,0.2020726054906845,-0.45000001788139343,0.17320506274700165,-0.3083333373069763,0.37527769804000854,0.0,1.0759083032608032,0.0,0.0,0.0,0.0,0.0,0.005859375,6,,,,,
0.05616156756877899,2.3178277015686035,4e-07,24335.0,65.41667175292969,26.0,171.0,0.0,65.41667175292969,26.0,171.0,0.17499999701976776,0.05838742107152939,-0.5,0.23354968428611755,-0.32500001788139343,0.29193711280822754,0.0,0.9989065627257029,0.0,0.0,0.0,0.0,0.0,0.0068359375,7,,,,,
-0.194342702627182,1.683410406112671,4.6666666666666666e-07,28271.0,119.0,31.0,192.0,0.1666666716337204,104.4000015258789,31.0,191.0,0.1041666641831398,0.19360026717185974,-0.16499999165534973,0.5517657995223999,-0.060833320021629333,0.7186915278434753,0.0,1.0719532420237858,0.0,0.0,0.0,0.0,0.0,0.0078125,8,,,,,
0.04095426946878433,1.5381580591201782,5.333333333333333e-07,32058.0,104.58333587646484,51.0,192.0,0.1666666716337204,87.0999984741211,51.0,159.0,0.16249999403953552,0.06784005463123322,-0.26499998569488525,0.44322168827056885,-0.10249999165534973,0.5110617876052856,0.0,1.0718917548656464,0.0,0.0,0.0,0.0,0.0,0.0087890625,9,,,,,
0.014857813715934753,0.880750298500061,6e-07,36112.0,114.83333587646484,44.0,192.0,0.25,89.11111450195312,44.0,178.0,0.01666666567325592,0.27579087018966675,-0.518333375453949,0.4504913091659546,-0.5016666650772095,0.6867821216583252,0.0,1.1415283977985382,0.0,0.0,0.0,0.0,0.0,0.009765625,10,,,,,
0.19402951002120972,1.9566980600357056,6.666666666666666e-07,40137.0,112.41667175292969,31.0,192.0,0.25,85.8888931274414,31.0,188.0,0.15833334624767303,0.14433757960796356,-0.45000001788139343,0.17320506274700165,-0.2916666865348816,0.3175426423549652,0.0,0.9076823790868124,0.0,0.0,0.0,0.0,0.0,0.0107421875,11,,,,,
-0.09392149746417999,1.2544515132904053,7.333333333333332e-07,43440.0,51.25,26.0,105.0,0.0,51.25,26.0,105.0,-0.00833333283662796,0.13623732328414917,-1.0,0.0,-1.008333444595337,0.13623730838298798,0.0,0.417448990046978,0.0,0.0,0.0,0.0,0.0,0.01171875,12,,,,,
-0.028919178992509842,2.103642463684082,8e-07,47279.0,118.91667175292969,28.0,192.0,0.3333333432674408,82.375,28.0,161.0,0.15833334624767303,0.14433757960796356,-0.45000001788139343,0.17320507764816284,-0.2916666865348816,0.3175426125526428,0.0,1.1954748183488846,0.0,0.0,0.0,0.0,0.0,0.0126953125,13,,,,,
0.05345137417316437,1.5199027061462402,8.666666666666667e-07,50668.0,77.41667175292969,27.0,192.0,0.25,39.22222137451172,27.0,53.0,-0.01666666753590107,0.2259659469127655,-0.8500000834465027,0.27136021852493286,-0.8666666746139526,0.4422737956047058,0.0,0.588243934015433,0.0,0.0,0.0,0.0,0.0,0.013671875,14,,,,,
0.18279767036437988,0.985199511051178,9.333333333333333e-07,54775.0,125.25,30.0,192.0,0.3333333432674408,91.875,30.0,167.0,0.05833333730697632,0.26097139716148376,-0.550000011920929,0.27136021852493286,-0.49166667461395264,0.5299371480941772,0.0,1.0412304004033406,0.0,0.0,0.0,0.0,0.0,0.0146484375,15,,,,,
0.4787338078022003,2.579348087310791,1e-06,57884.0,51.083335876464844,28.0,192.0,0.0833333358168602,38.272727966308594,28.0,103.0,0.16250000894069672,0.06784005463123322,-0.26500001549720764,0.44322168827056885,-0.10250000655651093,0.5110617876052856,0.0,0.38284288346767426,0.0,0.0,0.0,0.0,0.0,0.015625,16,,,,,
0.036272529512643814,0.8700863122940063,1.0666666666666667e-06,61650.0,109.83333587646484,36.0,192.0,0.3333333432674408,68.75,36.0,137.0,0.04583333432674408,0.2571330964565277,-0.2966666519641876,0.5463154911994934,-0.25083333253860474,0.7753411531448364,0.0,1.0539465149243672,0.0,0.0,0.0,0.0,0.0,0.0166015625,17,,,,,
0.08773010969161987,0.9796591401100159,1.1333333333333332e-06,64658.0,41.66666793823242,29.0,86.0,0.0,41.66666793823242,29.0,86.0,0.0625,0.04330127313733101,-0.9183333516120911,0.2829016447067261,-0.8558334112167358,0.326202929019928,0.0,0.3976128449042638,0.0,0.0,0.0,0.0,0.0,0.017578125,18,,,,,
